extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/29/2020,04/17/2020,9979,3386,527,96
04/29/2020,02/08/2020,1,0,0,0
04/29/2020,03/05/2020,63,5,3,1
04/29/2020,04/09/2020,9019,4803,1253,386
04/29/2020,04/03/2020,9389,5523,1688,582
04/29/2020,03/25/2020,7457,4803,1395,429
04/29/2020,03/21/2020,4713,2663,757,231
04/29/2020,03/20/2020,7756,4121,889,237
04/29/2020,03/14/2020,1702,684,217,59
04/29/2020,04/24/2020,8683,2092,230,18
04/29/2020,03/08/2020,109,27,15,4
04/29/2020,03/10/2020,456,86,37,9
04/29/2020,04/26/2020,3760,751,91,9
04/29/2020,04/07/2020,10406,5806,1532,517
04/29/2020,04/14/2020,9266,3974,881,198
04/29/2020,03/03/2020,11,2,0,0
04/29/2020,03/31/2020,7571,5175,1587,557
04/29/2020,03/29/2020,4776,3424,1344,433
04/29/2020,03/30/2020,8416,5947,1787,624
04/29/2020,03/28/2020,4632,3396,1304,471
04/29/2020,03/01/2020,1,0,0,0
04/29/2020,04/13/2020,6590,3149,972,244
04/29/2020,04/08/2020,9981,5343,1446,479
04/29/2020,03/15/2020,2345,1084,283,79
04/29/2020,03/22/2020,4373,2621,844,241
04/29/2020,03/27/2020,7280,5005,1550,518
04/29/2020,04/28/2020,239,31,0,0
04/29/2020,03/24/2020,7070,4470,1307,422
04/29/2020,04/15/2020,9708,3689,700,179
04/29/2020,02/28/2020,1,0,0,0
04/29/2020,02/26/2020,1,0,0,0
04/29/2020,04/18/2020,6404,2042,393,61
04/29/2020,03/13/2020,2156,679,190,43
04/29/2020,03/26/2020,7158,4951,1577,499
04/29/2020,03/17/2020,5513,2558,511,125
04/29/2020,04/22/2020,11090,3227,305,38
04/29/2020,04/27/2020,5436,1119,15,1
04/29/2020,04/05/2020,6159,3573,1295,412
04/29/2020,03/12/2020,1564,392,87,28
04/29/2020,03/06/2020,79,11,4,1
04/29/2020,04/21/2020,9507,2870,381,57
04/29/2020,04/16/2020,9377,3350,556,120
04/29/2020,02/05/2020,1,0,0,0
04/29/2020,04/04/2020,6141,3708,1332,434
04/29/2020,04/02/2020,9268,5651,1714,554
04/29/2020,03/02/2020,4,0,0,0
04/29/2020,04/11/2020,6740,3475,886,253
04/29/2020,02/29/2020,2,1,0,0
04/29/2020,02/09/2020,1,0,0,0
04/29/2020,02/02/2020,2,0,0,0
04/29/2020,04/12/2020,5579,2649,794,241
04/29/2020,03/07/2020,61,11,7,3
04/29/2020,04/23/2020,9341,2520,259,34
04/29/2020,03/16/2020,4934,2218,465,105
04/29/2020,04/06/2020,10777,6160,1734,581
04/29/2020,03/18/2020,6277,3126,652,163
04/29/2020,02/27/2020,1,0,0,1
04/29/2020,04/10/2020,7502,4132,1112,338
04/29/2020,03/23/2020,5568,3587,1118,338
04/29/2020,03/09/2020,396,69,29,12
04/29/2020,04/25/2020,4783,1138,149,12
04/29/2020,03/19/2020,7695,3865,807,218
04/29/2020,02/04/2020,1,0,0,0
04/29/2020,03/04/2020,32,6,5,1
04/29/2020,03/11/2020,790,177,62,22
