DATE,TOTAL_TESTS,POSITIVE_TESTS,PERCENT_POSITIVE,TOTAL_TESTS_7DAYS_AVG,POSITIVE_TESTS_7DAYS_AVG,PERCENT_POSITIVE_7DAYS_AVG,TOTAL_ANTIGEN_TESTS,TOTAL_ANTIGEN_TESTS_7DAYS_AVG,INCOMPLETE
3/3/2020,15,1,0.0667,0,0,0,0,0,0
3/4/2020,35,5,0.1429,0,0,0,0,0,0
3/5/2020,65,4,0.0615,0,0,0,0,0,0
3/6/2020,87,8,0.092,0,0,0,0,0,0
3/7/2020,75,8,0.1067,0,0,0,1,0,0
3/8/2020,112,21,0.1875,0,0,0,0,0,0
3/9/2020,408,60,0.1471,111,15,0.1308,44,0,0
3/10/2020,479,74,0.1545,176,25,0.1394,0,0,0
3/11/2020,816,165,0.2022,286,46,0.1622,0,0,0
3/12/2020,1617,370,0.2288,504,97,0.1923,0,0,0
3/13/2020,2208,626,0.2835,803,185,0.2302,0,0,0
3/14/2020,1770,665,0.3757,1037,276,0.266,0,0,0
3/15/2020,2404,1055,0.4389,1360,422,0.31,0,0,0
3/16/2020,5072,2192,0.4322,2014,718,0.3564,0,0,0
3/17/2020,5719,2527,0.4419,2741,1060,0.3867,1,0,0
3/18/2020,6488,3064,0.4723,3535,1465,0.4144,1,0,0
3/19/2020,7934,3793,0.4781,4425,1945,0.4397,0,0,0
3/20/2020,8045,4121,0.5122,5249,2438,0.4646,0,0,0
3/21/2020,4959,2737,0.5519,5698,2729,0.479,33,0,0
3/22/2020,4660,2708,0.5811,6016,2962,0.4923,0,0,0
3/23/2020,6001,3755,0.6257,6143,3182,0.518,0,0,0
3/24/2020,7588,4681,0.6169,6400,3487,0.5449,0,0,0
3/25/2020,8078,5119,0.6337,6614,3769,0.5699,0,0,0
3/26/2020,7802,5293,0.6784,6590,3980,0.604,1,0,0
3/27/2020,7954,5340,0.6714,6576,4156,0.632,0,0,0
3/28/2020,5163,3677,0.7122,6589,4282,0.6499,0,0,0
3/29/2020,5347,3754,0.7021,6681,4432,0.6633,1,0,0
3/30/2020,9361,6475,0.6917,7136,4810,0.674,1,0,0
3/31/2020,8622,5772,0.6695,7279,4966,0.6822,3,0,0
4/1/2020,9159,5765,0.6294,7428,5055,0.6806,17,0,0
4/2/2020,10251,6142,0.5992,7770,5172,0.6657,10,0,0
4/3/2020,10438,6018,0.5765,8124,5271,0.6488,5,0,0
4/4/2020,6925,4104,0.5926,8364,5333,0.6377,1,5,0
4/5/2020,7035,4048,0.5754,8594,5373,0.6252,1,5,0
4/6/2020,12114,6806,0.5618,8980,5426,0.6042,4,6,0
4/7/2020,11774,6464,0.549,9402,5515,0.5866,1,6,0
4/8/2020,11493,6059,0.5272,9717,5551,0.5712,1,3,0
4/9/2020,10366,5490,0.5296,9726,5456,0.5609,1,2,0
4/10/2020,8965,4961,0.5534,9515,5303,0.5573,2,2,0
4/11/2020,7848,4041,0.5149,9639,5294,0.5492,7,2,0
4/12/2020,6826,3262,0.4779,9599,5179,0.5395,2,3,0
4/13/2020,8165,3751,0.4594,9042,4755,0.5259,1,2,0
4/14/2020,11344,4819,0.4248,8981,4527,0.5041,4,3,0
4/15/2020,11642,4393,0.3773,9011,4300,0.4772,5,3,0
4/16/2020,11347,4034,0.3555,9147,4100,0.4482,1,3,0
4/17/2020,12300,4138,0.3364,9610,3987,0.4149,1,3,0
4/18/2020,7810,2566,0.3286,9602,3778,0.3934,1,2,0
4/19/2020,8205,2799,0.3411,9789,3712,0.3792,0,2,0
4/20/2020,13980,4515,0.323,10612,3822,0.3602,0,2,0
4/21/2020,12031,3726,0.3097,10708,3674,0.3431,0,1,0
4/22/2020,14040,4224,0.3009,11040,3648,0.3304,1,1,0
4/23/2020,12531,3500,0.2793,11199,3575,0.3193,0,0,0
4/24/2020,11987,3218,0.2685,11169,3448,0.3087,1,0,0
4/25/2020,7749,2009,0.2593,11143,3368,0.3022,0,0,0
4/26/2020,5740,1321,0.2301,10789,3158,0.2927,0,0,0
