"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","211.84","210.85","212.16","210.42","1.23M","0.45%"
"Dec 30, 2020","210.90","211.13","211.52","210.73","585.01K","0.20%"
"Dec 29, 2020","210.47","212.09","212.13","210.10","570.48K","-0.24%"
"Dec 28, 2020","210.98","211.19","211.36","210.76","522.67K","0.59%"
"Dec 24, 2020","209.75","209.60","209.85","208.99","602.62K","0.33%"
"Dec 23, 2020","209.05","209.71","210.23","209.02","441.12K","0.00%"
"Dec 22, 2020","209.05","209.40","209.49","208.19","447.29K","0.02%"
"Dec 21, 2020","209.01","207.35","209.45","205.71","547.04K","-0.30%"
"Dec 18, 2020","209.64","210.54","210.72","208.29","833.29K","-0.30%"
"Dec 17, 2020","210.27","209.75","210.27","209.44","469.91K","0.77%"
"Dec 16, 2020","208.67","208.58","209.25","208.02","855.92K","0.15%"
"Dec 15, 2020","208.36","207.12","208.45","206.44","914.39K","1.35%"
"Dec 14, 2020","205.58","207.86","208.40","205.58","871.82K","-0.78%"
"Dec 11, 2020","207.20","206.50","207.29","205.38","533.35K","-0.14%"
"Dec 10, 2020","207.50","206.15","207.92","205.75","464.01K","0.20%"
"Dec 09, 2020","207.08","209.74","209.79","206.50","1.69M","-1.02%"
"Dec 08, 2020","209.22","207.97","209.65","207.76","742.13K","0.27%"
"Dec 07, 2020","208.65","208.37","208.83","207.93","488.36K","-0.03%"
"Dec 04, 2020","208.71","207.33","208.75","207.24","459.46K","0.93%"
"Dec 03, 2020","206.79","206.69","207.69","206.35","694.16K","0.12%"
"Dec 02, 2020","206.54","205.52","206.69","205.04","446.54K","0.15%"
"Dec 01, 2020","206.24","206.32","207.17","205.81","654.85K","0.98%"
"Nov 30, 2020","204.23","205.01","205.07","202.50","1.40M","-0.43%"
"Nov 27, 2020","205.11","205.11","205.49","204.69","256.81K","0.35%"
"Nov 25, 2020","204.40","204.40","204.69","203.54","592.40K","-0.02%"
"Nov 24, 2020","204.45","203.01","204.82","202.37","1.05M","1.53%"
"Nov 23, 2020","201.36","201.11","201.92","199.99","593.95K","0.67%"
"Nov 20, 2020","200.01","201.10","201.16","199.91","413.48K","-0.53%"
"Nov 19, 2020","201.07","199.66","201.32","199.07","883.21K","0.51%"
"Nov 18, 2020","200.04","202.43","202.88","200.04","687.98K","-1.04%"
"Nov 17, 2020","202.15","201.71","202.88","200.88","653.62K","-0.32%"
"Nov 16, 2020","202.79","202.36","202.80","201.26","552.09K","1.22%"
"Nov 13, 2020","200.34","199.08","200.78","198.62","444.15K","1.31%"
"Nov 12, 2020","197.75","199.20","199.56","196.76","536.21K","-0.94%"
"Nov 11, 2020","199.62","199.55","200.05","198.74","323.22K","0.78%"
"Nov 10, 2020","198.08","197.93","198.58","196.00","438.52K","-0.21%"
"Nov 09, 2020","198.50","202.87","203.79","198.30","711.35K","1.01%"
"Nov 06, 2020","196.52","196.30","197.09","195.13","684.23K","0.02%"
"Nov 05, 2020","196.49","195.82","197.29","195.50","377.91K","2.04%"
"Nov 04, 2020","192.56","190.75","194.85","190.29","407.98K","2.33%"
"Nov 03, 2020","188.18","186.90","189.31","186.49","527.54K","1.76%"
"Nov 02, 2020","184.93","184.85","186.03","183.15","1.07M","1.14%"
"Oct 30, 2020","182.85","183.97","184.82","180.78","905.03K","-1.23%"
"Oct 29, 2020","185.12","183.39","186.81","182.52","880.25K","1.05%"
"Oct 28, 2020","183.19","186.11","186.50","182.92","961.96K","-3.34%"
"Oct 27, 2020","189.52","190.48","190.65","189.51","1.05M","-0.33%"
"Oct 26, 2020","190.15","191.74","192.27","188.10","742.06K","-1.89%"
"Oct 23, 2020","193.81","193.82","193.82","192.27","669.80K","0.33%"
"Oct 22, 2020","193.17","192.25","193.44","190.89","431.26K","0.69%"
"Oct 21, 2020","191.85","192.55","193.65","191.85","430.56K","-0.31%"
"Oct 20, 2020","192.44","192.81","194.37","192.19","262.62K","0.33%"
"Oct 19, 2020","191.80","195.34","195.88","191.43","357.39K","-1.44%"
"Oct 16, 2020","194.61","195.58","196.59","194.61","561.48K","-0.12%"
"Oct 15, 2020","194.84","192.52","195.09","192.52","1.82M","-0.16%"
"Oct 14, 2020","195.16","196.76","197.13","194.68","292.31K","-0.60%"
"Oct 13, 2020","196.34","197.09","197.10","195.80","316.28K","-0.49%"
