"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","14,524.80","14,477.48","14,533.21","14,422.74","-","0.33%"
"Dec 30, 2020","14,477.48","14,397.92","14,520.57","14,397.92","-","0.55%"
"Dec 29, 2020","14,397.92","14,405.77","14,515.81","14,371.87","-","-0.05%"
"Dec 28, 2020","14,405.77","14,382.50","14,481.48","14,382.50","-","0.16%"
"Dec 24, 2020","14,382.50","14,398.62","14,398.62","14,324.77","-","-0.11%"
"Dec 23, 2020","14,398.62","14,321.34","14,457.29","14,321.34","-","0.54%"
"Dec 22, 2020","14,321.34","14,378.85","14,378.85","14,305.62","-","-0.40%"
"Dec 21, 2020","14,378.85","14,467.82","14,467.82","14,171.77","-","-0.61%"
"Dec 18, 2020","14,467.82","14,516.73","14,529.88","14,394.35","-","-0.34%"
"Dec 17, 2020","14,516.73","14,408.94","14,519.99","14,408.94","-","0.75%"
"Dec 16, 2020","14,408.94","14,402.32","14,442.89","14,370.51","-","0.05%"
"Dec 15, 2020","14,402.32","14,214.93","14,410.15","14,214.93","-","1.32%"
"Dec 14, 2020","14,214.93","14,355.29","14,459.65","14,214.03","-","-0.98%"
"Dec 11, 2020","14,355.29","14,394.34","14,394.34","14,260.89","-","-0.27%"
"Dec 10, 2020","14,394.34","14,374.08","14,413.06","14,290.93","-","0.14%"
"Dec 09, 2020","14,374.08","14,402.17","14,476.68","14,293.27","-","-0.20%"
"Dec 08, 2020","14,402.17","14,354.97","14,424.98","14,304.14","-","0.33%"
"Dec 07, 2020","14,354.97","14,417.33","14,417.33","14,314.47","-","-0.43%"
"Dec 04, 2020","14,417.33","14,217.18","14,417.40","14,217.18","-","1.41%"
"Dec 03, 2020","14,217.18","14,188.24","14,283.73","14,184.49","-","0.20%"
"Dec 02, 2020","14,188.24","14,146.64","14,198.79","14,076.71","-","0.29%"
"Dec 01, 2020","14,146.64","14,006.46","14,233.46","14,006.46","-","1.00%"
"Nov 30, 2020","14,006.46","14,198.50","14,198.50","13,977.05","-","-1.35%"
"Nov 27, 2020","14,198.50","14,191.58","14,229.12","14,165.71","-","0.05%"
"Nov 25, 2020","14,191.58","14,249.50","14,249.50","14,122.10","-","-0.41%"
"Nov 24, 2020","14,249.50","13,998.24","14,271.09","13,998.24","-","1.79%"
"Nov 23, 2020","13,998.24","13,827.00","14,029.33","13,827.00","-","1.24%"
"Nov 20, 2020","13,827.00","13,863.23","13,883.45","13,810.24","-","-0.26%"
"Nov 19, 2020","13,863.23","13,808.65","13,871.26","13,714.27","-","0.40%"
"Nov 18, 2020","13,808.65","13,949.10","14,004.61","13,808.37","-","-1.01%"
"Nov 17, 2020","13,949.10","13,982.19","13,989.34","13,818.76","-","-0.24%"
"Nov 16, 2020","13,982.19","13,761.32","13,985.51","13,761.32","-","1.61%"
"Nov 13, 2020","13,761.32","13,551.47","13,787.70","13,551.47","-","1.55%"
"Nov 12, 2020","13,551.47","13,724.78","13,724.78","13,476.23","-","-1.26%"
"Nov 11, 2020","13,724.78","13,707.99","13,779.93","13,669.89","-","0.12%"
"Nov 10, 2020","13,707.99","13,611.65","13,732.62","13,577.02","-","0.71%"
"Nov 09, 2020","13,611.65","13,218.67","13,930.88","13,218.67","-","2.97%"
"Nov 06, 2020","13,218.67","13,199.12","13,270.47","13,188.24","-","0.15%"
"Nov 05, 2020","13,199.12","12,978.95","13,252.83","12,978.95","-","1.70%"
"Nov 04, 2020","12,978.95","12,877.45","13,161.52","12,868.62","-","0.79%"
"Nov 03, 2020","12,877.45","12,662.17","12,936.90","12,662.17","-","1.70%"
"Nov 02, 2020","12,662.17","12,429.28","12,675.13","12,429.28","-","1.87%"
"Oct 30, 2020","12,429.28","12,502.29","12,502.29","12,293.75","-","-0.58%"
"Oct 29, 2020","12,502.29","12,415.42","12,584.47","12,317.80","-","0.70%"
"Oct 28, 2020","12,415.42","12,817.87","12,817.87","12,411.10","-","-3.14%"
"Oct 27, 2020","12,817.87","12,936.39","12,936.39","12,817.87","-","-0.92%"
"Oct 26, 2020","12,936.39","13,199.86","13,199.86","12,815.28","-","-2.00%"
"Oct 23, 2020","13,199.86","13,145.92","13,215.59","13,117.82","-","0.41%"
"Oct 22, 2020","13,145.92","13,040.13","13,162.80","13,002.96","-","0.81%"
"Oct 21, 2020","13,040.13","13,092.16","13,153.42","13,039.35","-","-0.40%"
"Oct 20, 2020","13,092.16","13,018.51","13,198.02","13,018.51","-","0.57%"
"Oct 19, 2020","13,018.51","13,169.32","13,247.75","12,999.41","-","-1.15%"
"Oct 16, 2020","13,169.32","13,137.25","13,241.53","13,137.25","-","0.24%"
"Oct 15, 2020","13,137.25","13,143.16","13,148.70","12,960.98","-","-0.04%"
"Oct 14, 2020","13,143.16","13,211.95","13,267.16","13,135.90","-","-0.52%"
"Oct 13, 2020","13,211.95","13,324.87","13,324.87","13,181.59","-","-0.85%"
"Oct 12, 2020","13,324.87","13,252.62","13,350.59","13,252.62","-","0.55%"
"Oct 09, 2020","13,252.62","13,190.58","13,297.00","13,190.58","-","0.47%"
"Oct 08, 2020","13,190.58","13,042.33","13,191.01","13,042.33","-","1.14%"
"Oct 07, 2020","13,042.33","12,837.88","13,073.00","12,837.88","-","1.59%"
"Oct 06, 2020","12,837.88","12,949.65","13,083.30","12,824.20","-","-0.86%"
"Oct 05, 2020","12,949.65","12,749.79","12,957.56","12,749.79","-","1.57%"
"Oct 02, 2020","12,749.79","12,726.84","12,803.52","12,551.97","-","0.18%"
"Oct 01, 2020","12,726.84","12,701.89","12,792.62","12,656.31","-","0.20%"
"Sep 30, 2020","12,701.89","12,602.64","12,795.63","12,602.64","-","0.79%"
"Sep 29, 2020","12,602.64","12,677.54","12,688.70","12,562.53","-","-0.59%"
"Sep 28, 2020","12,677.54","12,485.38","12,735.16","12,485.38","-","1.54%"
"Sep 25, 2020","12,485.38","12,293.89","12,507.93","12,281.98","-","0.97%"
"Sep 24, 2020","12,365.54","12,314.58","12,476.13","12,228.97","-","0.05%"
"Sep 23, 2020","12,359.16","12,630.53","12,657.20","12,355.43","-","-1.93%"
"Sep 22, 2020","12,602.54","12,575.19","12,636.21","12,502.25","-","0.32%"
"Sep 21, 2020","12,561.78","12,617.45","12,833.57","12,421.15","-","-2.12%"
"Sep 18, 2020","12,833.57","12,937.60","12,962.64","12,779.40","-","-0.89%"
"Sep 17, 2020","12,948.45","12,866.17","12,981.34","12,824.44","-","-0.38%"
"Sep 16, 2020","12,997.86","13,013.46","13,128.68","12,990.70","-","0.24%"
"Sep 15, 2020","12,967.18","13,010.97","13,047.48","12,942.52","-","0.27%"
"Sep 14, 2020","12,932.69","12,868.31","12,970.57","12,858.18","-","1.25%"
"Sep 11, 2020","12,773.04","12,779.98","12,827.86","12,683.34","-","0.52%"
"Sep 10, 2020","12,706.69","12,924.50","12,964.20","12,688.32","-","-1.39%"
"Sep 09, 2020","12,885.80","12,806.24","12,969.46","12,803.74","-","1.56%"
"Sep 08, 2020","12,688.07","12,777.55","12,816.00","12,659.16","-","-1.77%"
"Sep 04, 2020","12,917.15","13,022.47","13,069.97","12,723.79","-","-0.38%"
