"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","12,888.28","12,852.96","12,904.09","12,804.75","158.54M","0.33%"
"Dec 30, 2020","12,845.36","12,900.03","12,917.46","12,828.79","136.77M","0.01%"
"Dec 29, 2020","12,843.49","12,909.86","12,925.53","12,816.59","155.88M","0.04%"
"Dec 28, 2020","12,838.86","12,813.97","12,861.91","12,747.05","144.84M","1.01%"
"Dec 24, 2020","12,711.01","12,668.20","12,732.55","12,665.80","72.67M","0.46%"
"Dec 23, 2020","12,653.14","12,733.75","12,737.59","12,649.60","145.40M","-0.51%"
"Dec 22, 2020","12,717.56","12,715.48","12,761.23","12,606.42","176.87M","0.22%"
"Dec 21, 2020","12,690.26","12,575.60","12,706.44","12,474.03","216.76M","-0.38%"
"Dec 18, 2020","12,738.18","12,786.92","12,793.47","12,611.22","682.52M","-0.11%"
"Dec 17, 2020","12,752.06","12,741.64","12,760.97","12,685.98","178.08M","0.66%"
"Dec 16, 2020","12,668.16","12,607.87","12,698.11","12,568.71","184.13M","0.57%"
"Dec 15, 2020","12,595.92","12,565.28","12,596.84","12,467.57","194.79M","1.07%"
"Dec 14, 2020","12,462.21","12,427.86","12,544.31","12,426.25","206.34M","0.70%"
"Dec 11, 2020","12,375.41","12,327.07","12,378.61","12,236.80","170.46M","-0.21%"
"Dec 10, 2020","12,401.74","12,268.47","12,447.85","12,226.13","182.10M","0.30%"
"Dec 09, 2020","12,364.64","12,626.97","12,643.24","12,311.30","227.70M","-2.15%"
"Dec 08, 2020","12,635.72","12,574.84","12,651.35","12,504.97","168.73M","0.31%"
"Dec 07, 2020","12,596.47","12,523.57","12,610.00","12,523.12","169.91M","0.54%"
"Dec 04, 2020","12,528.48","12,479.91","12,531.21","12,450.51","168.42M","0.49%"
"Dec 03, 2020","12,467.13","12,469.16","12,538.92","12,445.36","180.46M","0.09%"
"Dec 02, 2020","12,456.41","12,390.58","12,472.25","12,318.27","176.96M","0.01%"
"Dec 01, 2020","12,455.33","12,387.62","12,510.02","12,338.36","227.09M","1.52%"
"Nov 30, 2020","12,268.32","12,278.78","12,299.61","12,090.93","354.41M","0.08%"
"Nov 27, 2020","12,258.21","12,220.37","12,306.71","12,214.45","101.90M","0.87%"
"Nov 25, 2020","12,152.21","12,112.11","12,174.99","12,081.51","164.42M","0.60%"
"Nov 24, 2020","12,079.81","11,952.70","12,094.16","11,878.31","211.73M","1.46%"
"Nov 23, 2020","11,905.94","11,959.89","12,001.83","11,817.53","189.11M","-0.00%"
"Nov 20, 2020","11,906.44","11,976.00","12,017.42","11,903.57","192.39M","-0.66%"
"Nov 19, 2020","11,985.43","11,863.12","12,000.29","11,842.67","179.58M","0.76%"
"Nov 18, 2020","11,894.71","11,963.36","12,027.15","11,892.54","200.78M","-0.69%"
"Nov 17, 2020","11,977.49","12,030.27","12,047.13","11,964.20","194.30M","-0.30%"
"Nov 16, 2020","12,013.38","11,925.36","12,035.50","11,891.85","213.93M","0.63%"
"Nov 13, 2020","11,937.84","11,910.62","11,957.09","11,808.95","169.68M","0.94%"
"Nov 12, 2020","11,827.14","11,924.15","11,976.89","11,786.09","181.21M","-0.55%"
"Nov 11, 2020","11,892.93","11,734.82","11,904.13","11,714.32","186.65M","2.31%"
"Nov 10, 2020","11,624.29","11,704.46","11,761.95","11,512.46","260.14M","-1.74%"
"Nov 09, 2020","11,830.38","12,194.71","12,268.66","11,818.24","318.98M","-2.16%"
"Nov 06, 2020","12,091.35","12,044.29","12,116.91","11,895.50","177.20M","0.11%"
"Nov 05, 2020","12,078.07","12,021.77","12,117.04","11,977.07","210.41M","2.56%"
